| 人类学与社会学哲学 上册 | NIL | 7303191763, 9787303191765 | [461D45CE6FA789B4D46F75E62D6D24B6](http://libgen.rs/book/index.php?md5=461D45CE6FA789B4D46F75E62D6D24B6) |
| 人类学与社会学哲学 | NIL | 7303191763, 9787303191765 | [F412E86F5179234FC1457326C3A24B09](http://libgen.rs/book/index.php?md5=F412E86F5179234FC1457326C3A24B09) |
| 分布式操作系统原理与实践 | Doreen L. Galli | 711110952X, 9787111109525 | [546A2EEBC212A7F963CA1B5F587C0AD0](http://libgen.rs/book/index.php?md5=546A2EEBC212A7F963CA1B5F587C0AD0) |
| 软件测试原理与实践 | NIL | 7111255062, 9787111255062 | [ECB02A73A75320584C8C06D125F45615](http://libgen.rs/book/index.php?md5=ECB02A73A75320584C8C06D125F45615) |
| 面向对象软件工程 | NIL | 7302448884, 9787302448884 | [A6D8B7B543CF3BBB4F4A5E2BFBFBDEE0](http://libgen.rs/book/index.php?md5=A6D8B7B543CF3BBB4F4A5E2BFBFBDEE0) |
| Web工程 | NIL | 7111282507, 9787111282501 | [CBF76F0014DC9B6EDCA588357C0CC00A](http://libgen.rs/book/index.php?md5=CBF76F0014DC9B6EDCA588357C0CC00A) |
| 基于任务驱动模式的软件工程与UML建模技术 | NIL | 7560636411, 9787560636412 | [BE214DC91F9AF873D104049F1FFDE7BE](http://libgen.rs/book/index.php?md5=BE214DC91F9AF873D104049F1FFDE7BE) |
| 云计算技术架构与实践/21世纪高等学校计算机专业实用规划教材 | NIL | 7302324379, 9787302324379 | [E455956CD5F47274F4F9A693DB60D22D](http://libgen.rs/book/index.php?md5=E455956CD5F47274F4F9A693DB60D22D) |
| 搜索引擎与信息检索教程 | NIL | 7508453948, 9787508453941 | [0D1097F54904D388D2366F35418D3E4B](http://libgen.rs/book/index.php?md5=0D1097F54904D388D2366F35418D3E4B) |
| 网络连接设备的原理和实用技术 | NIL | 7121063352, 9787121063350 | [45B585134B32CF3A97AEDB3DB2909C88](http://libgen.rs/book/index.php?md5=45B585134B32CF3A97AEDB3DB2909C88) |
| 软件测试基础教程 | NIL | 7111480813, 9787111480815 | [DEAD74304C8695929405D83518D15DA7](http://libgen.rs/book/index.php?md5=DEAD74304C8695929405D83518D15DA7) |
| 数字控制系统分析与设计(原书第4版) | NIL | 7111573560, 9787111573562 | [D9CFB1D34177EC78AB47782157BCB72E](http://libgen.rs/book/index.php?md5=D9CFB1D34177EC78AB47782157BCB72E) |
| 软件项目管理 | NIL | 7111309642, 9787111309642 | [17A5871B9ACF7AA4997558D8781F8772](http://libgen.rs/book/index.php?md5=17A5871B9ACF7AA4997558D8781F8772) |
| 经验软件工程 | NIL | 711151856X, 9787111518563 | [7468686B286D946168C880435BC0DE03](http://libgen.rs/book/index.php?md5=7468686B286D946168C880435BC0DE03) |
| 计算机系统：系统架构与操作系统的高度集成 | NIL | 7111506367, 9787111506362 | [46FD17DA17253A9F42F1691BE50C84AF](http://libgen.rs/book/index.php?md5=46FD17DA17253A9F42F1691BE50C84AF) |
| 无线传感器网络：原理与实践 | NIL | 9787111406990 | [9878C2B89D5EB8653E3CE8D0059A9947](http://libgen.rs/book/index.php?md5=9878C2B89D5EB8653E3CE8D0059A9947) |
| 软件安全：从源头开始 | NIL | 9787111540236 | [5A8F0B680AE081EDB573A9612652D14E](http://libgen.rs/book/index.php?md5=5A8F0B680AE081EDB573A9612652D14E) |
| 中国家谱资料选编•序跋卷（全二册） | NIL | 7532570878, 9787532570874 | [D9A4F3618114E42492C4377B5FE91D78](http://libgen.rs/book/index.php?md5=D9A4F3618114E42492C4377B5FE91D78) |
